iter	Passed	Remaining
752	3809	1249
753	3813	1244
754	3818	1239
755	3823	1233
756	3827	1228
757	3831	1223
758	3836	1218
759	3841	1212
760	3846	1208
761	3851	1202
762	3856	1197
763	3861	1192
764	3866	1187
765	3870	1182
766	3875	1177
767	3879	1172
768	3884	1166
769	3889	1161
770	3894	1156
771	3898	1151
772	3903	1146
773	3908	1141
774	3912	1135
775	3916	1130
776	3920	1125
777	3926	1120
778	3931	1115
779	3935	1110
780	3939	1104
781	3944	1099
782	3948	1094
783	3953	1089
784	3957	1083
785	3962	1078
786	3966	1073
787	3971	1068
788	3976	1063
789	3980	1058
790	3985	1053
791	3990	1047
792	3994	1042
793	3999	1037
794	4004	1032
795	4008	1027
796	4013	1022
797	4017	1017
798	4022	1011
799	4026	1006
800	4031	1001
801	4036	996
802	4040	991
803	4045	986
804	4050	981
805	4054	975
806	4059	970
807	4064	965
808	4069	960
809	4074	955
810	4079	950
811	4083	945
812	4088	940
813	4092	935
814	4096	929
815	4101	924
816	4106	919
817	4110	914
818	4115	909
819	4119	904
820	4124	899
821	4129	894
822	4133	888
823	4138	883
824	4143	878
825	4148	873
826	4153	868
827	4157	863
828	4162	858
829	4167	853
830	4172	848
831	4176	843
832	4181	838
833	4185	833
834	4190	828
835	4194	822
836	4199	817
837	4203	812
838	4207	807
839	4212	802
840	4217	797
841	4222	792
842	4226	787
843	4231	782
844	4235	776
845	4240	771
846	4245	766
847	4249	761
848	4254	756
849	4259	751
850	4263	746
851	4268	741
852	4273	736
853	4278	731
854	4282	726
855	4286	721
856	4291	716
857	4295	710
858	4299	705
859	4304	700
860	4308	695
861	4313	690
862	4317	685
863	4322	680
864	4326	675
865	4330	670
866	4335	665
867	4340	660
868	4345	655
869	4349	649
870	4354	644
871	4358	639
872	4363	634
873	4368	629
874	4373	624
875	4377	619
876	4382	614
877	4386	609
878	4391	604
879	4395	599
880	4400	594
881	4404	589
882	4408	584
883	4412	579
884	4417	574
885	4422	568
886	4426	563
887	4430	558
888	4435	553
889	4439	548
890	4444	543
891	4448	538
892	4454	533
893	4458	528
894	4463	523
895	4468	518
896	4473	513
897	4477	508
898	4482	503
899	4487	498
900	4491	493
901	4495	488
902	4501	483
903	4506	478
